ID,Date,First Name,Last Name,Email,Company,Product,Quantity,Price,Total,Status,Description
11,2020-08-05,William,Smith,william.smith@umbrellacorp.com,Umbrella Corp,Widget,42,686.68,28840.56,Shipped,"Order for 42 x Widget placed by William Smith on 2020-08-05. This is a randomly generated description to add some bulk to the file size."
12,2023-01-12,Thomas,Harris,thomas.harris@massivedynamic.com,Massive Dynamic,Whatchamacallit,6,508.51,3051.06,Inactive,"Order for 6 x Whatchamacallit placed by Thomas Harris on 2023-01-12. This is a randomly generated description to add some bulk to the file size."
13,2023-07-25,Karen,Robinson,karen.robinson@cyberdyne.com,Cyberdyne,Contraption,78,682.24,53214.72,Active,"Order for 78 x Contraption placed by Karen Robinson on 2023-07-25. This is a randomly generated description to add some bulk to the file size."
14,2023-11-19,Karen,Johnson,karen.johnson@massivedynamic.com,Massive Dynamic,Gizmo,31,224.56,6961.36,Shipped,"Order for 31 x Gizmo placed by Karen Johnson on 2023-11-19. This is a randomly generated description to add some bulk to the file size."
15,2021-02-22,Susan,Jackson,susan.jackson@cyberdyne.com,Cyberdyne,Gadget,36,430.48,15497.28,Shipped,"Order for 36 x Gadget placed by Susan Jackson on 2021-02-22. This is a randomly generated description to add some bulk to the file size."
16,2022-07-05,Elizabeth,Smith,elizabeth.smith@acmecorp.com,Acme Corp,Gizmo,18,443.56,7984.08,Completed,"Order for 18 x Gizmo placed by Elizabeth Smith on 2022-07-05. This is a randomly generated description to add some bulk to the file size."
17,2020-02-16,Richard,Jackson,richard.jackson@starkind.com,Stark Ind,Mechanism,62,872.31,54083.22,Delivered,"Order for 62 x Mechanism placed by Richard Jackson on 2020-02-16. This is a randomly generated description to add some bulk to the file size."
18,2021-10-11,Sarah,Johnson,sarah.johnson@massivedynamic.com,Massive Dynamic,Apparatus,35,651.92,22817.2,Delivered,"Order for 35 x Apparatus placed by Sarah Johnson on 2021-10-11. This is a randomly generated description to add some bulk to the file size."
19,2022-05-26,Michael,Brown,michael.brown@initech.com,Initech,Whatchamacallit,35,79.01,2765.35,Cancelled,"Order for 35 x Whatchamacallit placed by Michael Brown on 2022-05-26. This is a randomly generated description to add some bulk to the file size."
20,2022-11-14,Patricia,Jackson,patricia.jackson@globex.com,Globex,Thingamajig,96,835.89,80245.44,Delivered,"Order for 96 x Thingamajig placed by Patricia Jackson on 2022-11-14. This is a randomly generated description to add some bulk to the file size."
21,2022-10-26,Mary,Davis,mary.davis@soylentcorp.com,Soylent Corp,Doohickey,55,959.29,52760.95,Returned,"Order for 55 x Doohickey placed by Mary Davis on 2022-10-26. This is a randomly generated description to add some bulk to the file size."
22,2020-12-30,Patricia,Wilson,patricia.wilson@umbrellacorp.com,Umbrella Corp,Doohickey,16,832.58,13321.28,Cancelled,"Order for 16 x Doohickey placed by Patricia Wilson on 2020-12-30. This is a randomly generated description to add some bulk to the file size."
23,2020-03-21,Michael,Harris,michael.harris@tyrellcorp.com,Tyrell Corp,Gizmo,29,251.67,7298.43,Refunded,"Order for 29 x Gizmo placed by Michael Harris on 2020-03-21. This is a randomly generated description to add some bulk to the file size."
24,2021-05-31,Charles,Robinson,charles.robinson@starkind.com,Stark Ind,Device,4,295.05,1180.2,Active,"Order for 4 x Device placed by Charles Robinson on 2021-05-31. This is a randomly generated description to add some bulk to the file size."
25,2022-01-30,Karen,Williams,karen.williams@tyrellcorp.com,Tyrell Corp,Widget,33,483.38,15951.54,Returned,"Order for 33 x Widget placed by Karen Williams on 2022-01-30. This is a randomly generated description to add some bulk to the file size."
26,2020-05-23,Sarah,Anderson,sarah.anderson@wayneent.com,Wayne Ent,Whatchamacallit,27,632.59,17079.93,Pending,"Order for 27 x Whatchamacallit placed by Sarah Anderson on 2020-05-23. This is a randomly generated description to add some bulk to the file size."
27,2022-03-09,William,Wilson,william.wilson@soylentcorp.com,Soylent Corp,Gizmo,85,585.5,49767.5,Delivered,"Order for 85 x Gizmo placed by William Wilson on 2022-03-09. This is a randomly generated description to add some bulk to the file size."
28,2023-05-11,Patricia,Johnson,patricia.johnson@soylentcorp.com,Soylent Corp,Contraption,89,301.84,26863.76,Active,"Order for 89 x Contraption placed by Patricia Johnson on 2023-05-11. This is a randomly generated description to add some bulk to the file size."
29,2021-10-20,Michael,Williams,michael.williams@cyberdyne.com,Cyberdyne,Thingamajig,15,206.44,3096.6,Returned,"Order for 15 x Thingamajig placed by Michael Williams on 2021-10-20. This is a randomly generated description to add some bulk to the file size."
30,2021-09-28,Michael,Miller,michael.miller@massivedynamic.com,Massive Dynamic,Whatchamacallit,49,643.73,31542.77,Delivered,"Order for 49 x Whatchamacallit placed by Michael Miller on 2021-09-28. This is a randomly generated description to add some bulk to the file size."
31,2023-01-02,Elizabeth,Moore,elizabeth.moore@tyrellcorp.com,Tyrell Corp,Gizmo,45,677.58,30491.1,Cancelled,"Order for 45 x Gizmo placed by Elizabeth Moore on 2023-01-02. This is a randomly generated description to add some bulk to the file size."
32,2021-11-07,James,Brown,james.brown@cyberdyne.com,Cyberdyne,Device,77,624.3,48071.1,Active,"Order for 77 x Device placed by James Brown on 2021-11-07. This is a randomly generated description to add some bulk to the file size."
33,2020-05-27,Richard,Jones,richard.jones@acmecorp.com,Acme Corp,Gadget,91,805.17,73270.47,Shipped,"Order for 91 x Gadget placed by Richard Jones on 2020-05-27. This is a randomly generated description to add some bulk to the file size."
34,2021-07-16,James,Wilson,james.wilson@wayneent.com,Wayne Ent,Gadget,14,581.1,8135.4,Shipped,"Order for 14 x Gadget placed by James Wilson on 2021-07-16. This is a randomly generated description to add some bulk to the file size."
35,2021-12-07,Jessica,Moore,jessica.moore@massivedynamic.com,Massive Dynamic,Apparatus,32,671.32,21482.24,Returned,"Order for 32 x Apparatus placed by Jessica Moore on 2021-12-07. This is a randomly generated description to add some bulk to the file size."
36,2021-03-15,Richard,Harris,richard.harris@globex.com,Globex,Mechanism,18,11.92,214.56,Processing,"Order for 18 x Mechanism placed by Richard Harris on 2021-03-15. This is a randomly generated description to add some bulk to the file size."
37,2023-10-04,William,Johnson,william.johnson@cyberdyne.com,Cyberdyne,Thingamajig,13,224.14,2913.82,Shipped,"Order for 13 x Thingamajig placed by William Johnson on 2023-10-04. This is a randomly generated description to add some bulk to the file size."
38,2020-11-15,Barbara,Davis,barbara.davis@wayneent.com,Wayne Ent,Widget,14,966.66,13533.24,Processing,"Order for 14 x Widget placed by Barbara Davis on 2020-11-15. This is a randomly generated description to add some bulk to the file size."
39,2022-08-07,Thomas,Martin,thomas.martin@cyberdyne.com,Cyberdyne,Gizmo,84,427.9,35943.6,Completed,"Order for 84 x Gizmo placed by Thomas Martin on 2022-08-07. This is a randomly generated description to add some bulk to the file size."
40,2020-06-21,John,Moore,john.moore@cyberdyne.com,Cyberdyne,Contraption,41,953.9,39109.9,Refunded,"Order for 41 x Contraption placed by John Moore on 2020-06-21. This is a randomly generated description to add some bulk to the file size."
41,2020-01-01,Mary,Miller,mary.miller@initech.com,Initech,Gadget,46,548.19,25216.74,Completed,"Order for 46 x Gadget placed by Mary Miller on 2020-01-01. This is a randomly generated description to add some bulk to the file size."
42,2022-11-20,John,Thompson,john.thompson@wayneent.com,Wayne Ent,Thingamajig,21,383.01,8043.21,Shipped,"Order for 21 x Thingamajig placed by John Thompson on 2022-11-20. This is a randomly generated description to add some bulk to the file size."
43,2022-01-12,Sarah,Harris,sarah.harris@massivedynamic.com,Massive Dynamic,Mechanism,62,662.32,41063.84,Returned,"Order for 62 x Mechanism placed by Sarah Harris on 2022-01-12. This is a randomly generated description to add some bulk to the file size."
44,2022-06-06,Linda,Anderson,linda.anderson@wayneent.com,Wayne Ent,Contraption,42,618.93,25995.06,Cancelled,"Order for 42 x Contraption placed by Linda Anderson on 2022-06-06. This is a randomly generated description to add some bulk to the file size."
45,2022-11-10,Elizabeth,White,elizabeth.white@wayneent.com,Wayne Ent,Doohickey,57,920.38,52461.66,Inactive,"Order for 57 x Doohickey placed by Elizabeth White on 2022-11-10. This is a randomly generated description to add some bulk to the file size."
46,2020-05-09,Richard,Jones,richard.jones@cyberdyne.com,Cyberdyne,Gizmo,43,154.9,6660.7,Delivered,"Order for 43 x Gizmo placed by Richard Jones on 2020-05-09. This is a randomly generated description to add some bulk to the file size."
47,2020-07-27,Mary,Garcia,mary.garcia@initech.com,Initech,Device,93,133.14,12382.02,Inactive,"Order for 93 x Device placed by Mary Garcia on 2020-07-27. This is a randomly generated description to add some bulk to the file size."
48,2021-08-05,Jennifer,Thompson,jennifer.thompson@cyberdyne.com,Cyberdyne,Apparatus,64,152.4,9753.6,Pending,"Order for 64 x Apparatus placed by Jennifer Thompson on 2021-08-05. This is a randomly generated description to add some bulk to the file size."
49,2022-04-30,Barbara,Jackson,barbara.jackson@acmecorp.com,Acme Corp,Thingamajig,20,79.71,1594.2,Refunded,"Order for 20 x Thingamajig placed by Barbara Jackson on 2022-04-30. This is a randomly generated description to add some bulk to the file size."
50,2023-07-08,Sarah,Johnson,sarah.johnson@umbrellacorp.com,Umbrella Corp,Thingamajig,29,541.98,15717.42,Inactive,"Order for 29 x Thingamajig placed by Sarah Johnson on 2023-07-08. This is a randomly generated description to add some bulk to the file size."
51,2024-01-23,Richard,Garcia,richard.garcia@massivedynamic.com,Massive Dynamic,Gadget,79,113.67,8979.93,Inactive,"Order for 79 x Gadget placed by Richard Garcia on 2024-01-23. This is a randomly generated description to add some bulk to the file size."
52,2021-12-26,Sarah,Wilson,sarah.wilson@starkind.com,Stark Ind,Apparatus,28,641.45,17960.6,Active,"Order for 28 x Apparatus placed by Sarah Wilson on 2021-12-26. This is a randomly generated description to add some bulk to the file size."
53,2023-12-31,Jessica,Davis,jessica.davis@massivedynamic.com,Massive Dynamic,Gadget,88,566.86,49883.68,Processing,"Order for 88 x Gadget placed by Jessica Davis on 2023-12-31. This is a randomly generated description to add some bulk to the file size."
54,2023-12-04,Barbara,Garcia,barbara.garcia@acmecorp.com,Acme Corp,Doohickey,63,491.27,30950.01,Cancelled,"Order for 63 x Doohickey placed by Barbara Garcia on 2023-12-04. This is a randomly generated description to add some bulk to the file size."
55,2021-04-15,James,Martinez,james.martinez@acmecorp.com,Acme Corp,Widget,36,264.04,9505.44,Returned,"Order for 36 x Widget placed by James Martinez on 2021-04-15. This is a randomly generated description to add some bulk to the file size."
56,2023-02-14,Linda,Martinez,linda.martinez@starkind.com,Stark Ind,Whatchamacallit,98,809.83,79363.34,Pending,"Order for 98 x Whatchamacallit placed by Linda Martinez on 2023-02-14. This is a randomly generated description to add some bulk to the file size."
57,2021-04-27,Karen,Wilson,karen.wilson@tyrellcorp.com,Tyrell Corp,Gizmo,78,731.6,57064.8,Active,"Order for 78 x Gizmo placed by Karen Wilson on 2021-04-27. This is a randomly generated description to add some bulk to the file size."
58,2021-02-07,William,Johnson,william.johnson@cyberdyne.com,Cyberdyne,Whatchamacallit,75,507.02,38026.5,Pending,"Order for 75 x Whatchamacallit placed by William Johnson on 2021-02-07. This is a randomly generated description to add some bulk to the file size."
59,2023-01-11,Susan,Thomas,susan.thomas@acmecorp.com,Acme Corp,Thingamajig,87,982.71,85495.77,Active,"Order for 87 x Thingamajig placed by Susan Thomas on 2023-01-11. This is a randomly generated description to add some bulk to the file size."
60,2022-06-27,Joseph,Davis,joseph.davis@acmecorp.com,Acme Corp,Contraption,17,675.42,11482.14,Returned,"Order for 17 x Contraption placed by Joseph Davis on 2022-06-27. This is a randomly generated description to add some bulk to the file size."
61,2020-03-11,James,Martin,james.martin@tyrellcorp.com,Tyrell Corp,Device,93,142.94,13293.42,Processing,"Order for 93 x Device placed by James Martin on 2020-03-11. This is a randomly generated description to add some bulk to the file size."
62,2020-05-17,Thomas,Smith,thomas.smith@cyberdyne.com,Cyberdyne,Contraption,32,332.74,10647.68,Refunded,"Order for 32 x Contraption placed by Thomas Smith on 2020-05-17. This is a randomly generated description to add some bulk to the file size."
63,2022-01-31,John,Moore,john.moore@initech.com,Initech,Device,24,935.85,22460.4,Shipped,"Order for 24 x Device placed by John Moore on 2022-01-31. This is a randomly generated description to add some bulk to the file size."
64,2024-01-16,Robert,Brown,robert.brown@umbrellacorp.com,Umbrella Corp,Widget,93,503.75,46848.75,Shipped,"Order for 93 x Widget placed by Robert Brown on 2024-01-16. This is a randomly generated description to add some bulk to the file size."
65,2020-05-02,Elizabeth,Brown,elizabeth.brown@soylentcorp.com,Soylent Corp,Device,64,152.4,9753.6,Processing,"Order for 64 x Device placed by Elizabeth Brown on 2020-05-02. This is a randomly generated description to add some bulk to the file size."
66,2022-06-09,Michael,Moore,michael.moore@tyrellcorp.com,Tyrell Corp,Gizmo,85,79.38,6747.3,Pending,"Order for 85 x Gizmo placed by Michael Moore on 2022-06-09. This is a randomly generated description to add some bulk to the file size."
67,2022-02-09,Linda,Davis,linda.davis@acmecorp.com,Acme Corp,Whatchamacallit,72,229.23,16504.56,Refunded,"Order for 72 x Whatchamacallit placed by Linda Davis on 2022-02-09. This is a randomly generated description to add some bulk to the file size."
68,2020-10-02,Charles,Taylor,charles.taylor@umbrellacorp.com,Umbrella Corp,Mechanism,56,601.65,33692.4,Active,"Order for 56 x Mechanism placed by Charles Taylor on 2020-10-02. This is a randomly generated description to add some bulk to the file size."
69,2020-06-12,Linda,Johnson,linda.johnson@globex.com,Globex,Apparatus,7,164.87,1154.09,Refunded,"Order for 7 x Apparatus placed by Linda Johnson on 2020-06-12. This is a randomly generated description to add some bulk to the file size."
70,2022-06-15,John,Anderson,john.anderson@wayneent.com,Wayne Ent,Mechanism,14,264.49,3702.86,Completed,"Order for 14 x Mechanism placed by John Anderson on 2022-06-15. This is a randomly generated description to add some bulk to the file size."
71,2022-07-09,Susan,Moore,susan.moore@cyberdyne.com,Cyberdyne,Doohickey,70,632.17,44251.9,Refunded,"Order for 70 x Doohickey placed by Susan Moore on 2022-07-09. This is a randomly generated description to add some bulk to the file size."
72,2023-12-05,Joseph,Taylor,joseph.taylor@umbrellacorp.com,Umbrella Corp,Gizmo,41,397.61,16302.01,Returned,"Order for 41 x Gizmo placed by Joseph Taylor on 2023-12-05. This is a randomly generated description to add some bulk to the file size."
73,2022-09-09,Joseph,Thompson,joseph.thompson@soylentcorp.com,Soylent Corp,Widget,47,322.22,15144.34,Active,"Order for 47 x Widget placed by Joseph Thompson on 2022-09-09. This is a randomly generated description to add some bulk to the file size."
74,2023-07-18,Jennifer,Garcia,jennifer.garcia@cyberdyne.com,Cyberdyne,Mechanism,56,907.57,50823.92,Cancelled,"Order for 56 x Mechanism placed by Jennifer Garcia on 2023-07-18. This is a randomly generated description to add some bulk to the file size."
75,2021-10-02,William,Thomas,william.thomas@globex.com,Globex,Gizmo,73,656.97,47958.81,Cancelled,"Order for 73 x Gizmo placed by William Thomas on 2021-10-02. This is a randomly generated description to add some bulk to the file size."
76,2022-04-16,Thomas,Williams,thomas.williams@initech.com,Initech,Widget,54,297.44,16061.76,Pending,"Order for 54 x Widget placed by Thomas Williams on 2022-04-16. This is a randomly generated description to add some bulk to the file size."
77,2023-04-10,Susan,Johnson,susan.johnson@cyberdyne.com,Cyberdyne,Gadget,5,283.87,1419.35,Inactive,"Order for 5 x Gadget placed by Susan Johnson on 2023-04-10. This is a randomly generated description to add some bulk to the file size."
78,2020-06-15,Karen,White,karen.white@tyrellcorp.com,Tyrell Corp,Gadget,70,135.39,9477.3,Delivered,"Order for 70 x Gadget placed by Karen White on 2020-06-15. This is a randomly generated description to add some bulk to the file size."
79,2021-06-21,William,Johnson,william.johnson@globex.com,Globex,Thingamajig,6,745.68,4474.08,Returned,"Order for 6 x Thingamajig placed by William Johnson on 2021-06-21. This is a randomly generated description to add some bulk to the file size."
80,2021-11-27,Thomas,Jackson,thomas.jackson@wayneent.com,Wayne Ent,Thingamajig,18,592.38,10662.84,Inactive,"Order for 18 x Thingamajig placed by Thomas Jackson on 2021-11-27. This is a randomly generated description to add some bulk to the file size."
81,2023-09-16,William,Thompson,william.thompson@tyrellcorp.com,Tyrell Corp,Mechanism,65,270.44,17578.6,Processing,"Order for 65 x Mechanism placed by William Thompson on 2023-09-16. This is a randomly generated description to add some bulk to the file size."
82,2023-05-18,Robert,Wilson,robert.wilson@globex.com,Globex,Whatchamacallit,63,95.06,5988.78,Inactive,"Order for 63 x Whatchamacallit placed by Robert Wilson on 2023-05-18. This is a randomly generated description to add some bulk to the file size."
83,2020-01-25,William,Miller,william.miller@wayneent.com,Wayne Ent,Gadget,12,885.38,10624.56,Shipped,"Order for 12 x Gadget placed by William Miller on 2020-01-25. This is a randomly generated description to add some bulk to the file size."
84,2023-04-06,Jessica,Thomas,jessica.thomas@cyberdyne.com,Cyberdyne,Apparatus,78,276.37,21556.86,Processing,"Order for 78 x Apparatus placed by Jessica Thomas on 2023-04-06. This is a randomly generated description to add some bulk to the file size."
85,2022-02-27,Jennifer,Jones,jennifer.jones@initech.com,Initech,Mechanism,90,22.93,2063.7,Completed,"Order for 90 x Mechanism placed by Jennifer Jones on 2022-02-27. This is a randomly generated description to add some bulk to the file size."
86,2020-07-16,Robert,Taylor,robert.taylor@massivedynamic.com,Massive Dynamic,Widget,9,935.59,8420.31,Returned,"Order for 9 x Widget placed by Robert Taylor on 2020-07-16. This is a randomly generated description to add some bulk to the file size."
87,2020-08-04,David,Brown,david.brown@soylentcorp.com,Soylent Corp,Whatchamacallit,40,804.31,32172.4,Pending,"Order for 40 x Whatchamacallit placed by David Brown on 2020-08-04. This is a randomly generated description to add some bulk to the file size."
88,2021-05-08,William,Robinson,william.robinson@wayneent.com,Wayne Ent,Widget,52,632.96,32913.92,Shipped,"Order for 52 x Widget placed by William Robinson on 2021-05-08. This is a randomly generated description to add some bulk to the file size."
89,2020-09-13,Sarah,Harris,sarah.harris@starkind.com,Stark Ind,Whatchamacallit,6,451.57,2709.42,Processing,"Order for 6 x Whatchamacallit placed by Sarah Harris on 2020-09-13. This is a randomly generated description to add some bulk to the file size."
90,2020-03-13,Elizabeth,Anderson,elizabeth.anderson@wayneent.com,Wayne Ent,Thingamajig,93,665.31,61873.83,Refunded,"Order for 93 x Thingamajig placed by Elizabeth Anderson on 2020-03-13. This is a randomly generated description to add some bulk to the file size."
91,2021-04-17,Barbara,Miller,barbara.miller@tyrellcorp.com,Tyrell Corp,Gizmo,25,705.52,17638.0,Processing,"Order for 25 x Gizmo placed by Barbara Miller on 2021-04-17. This is a randomly generated description to add some bulk to the file size."
92,2020-06-06,Linda,Jackson,linda.jackson@soylentcorp.com,Soylent Corp,Gadget,46,380.16,17487.36,Active,"Order for 46 x Gadget placed by Linda Jackson on 2020-06-06. This is a randomly generated description to add some bulk to the file size."
93,2020-06-02,Joseph,Johnson,joseph.johnson@globex.com,Globex,Gadget,80,985.56,78844.8,Refunded,"Order for 80 x Gadget placed by Joseph Johnson on 2020-06-02. This is a randomly generated description to add some bulk to the file size."
94,2020-02-02,Thomas,Moore,thomas.moore@initech.com,Initech,Gizmo,46,865.0,39790.0,Inactive,"Order for 46 x Gizmo placed by Thomas Moore on 2020-02-02. This is a randomly generated description to add some bulk to the file size."
95,2020-05-28,Sarah,Brown,sarah.brown@umbrellacorp.com,Umbrella Corp,Widget,81,787.23,63765.63,Refunded,"Order for 81 x Widget placed by Sarah Brown on 2020-05-28. This is a randomly generated description to add some bulk to the file size."
96,2021-03-05,William,Jackson,william.jackson@globex.com,Globex,Whatchamacallit,74,812.47,60122.78,Returned,"Order for 74 x Whatchamacallit placed by William Jackson on 2021-03-05. This is a randomly generated description to add some bulk to the file size."
97,2023-04-12,David,Moore,david.moore@acmecorp.com,Acme Corp,Gizmo,23,92.84,2135.32,Pending,"Order for 23 x Gizmo placed by David Moore on 2023-04-12. This is a randomly generated description to add some bulk to the file size."
98,2022-04-20,William,Jackson,william.jackson@wayneent.com,Wayne Ent,Apparatus,32,150.07,4802.24,Delivered,"Order for 32 x Apparatus placed by William Jackson on 2022-04-20. This is a randomly generated description to add some bulk to the file size."
99,2020-04-15,Jessica,Smith,jessica.smith@starkind.com,Stark Ind,Gadget,58,203.07,11778.06,Processing,"Order for 58 x Gadget placed by Jessica Smith on 2020-04-15. This is a randomly generated description to add some bulk to the file size."
